
Equity Holdings
Company,Jul-23 AUM:₹31388.9(Cr.),,Jun-23 AUM:₹29758.5(Cr.),,May-23 AUM:₹27871.3(Cr.),,Apr-23 AUM:₹25971.7(Cr.),
Emami Ltd.,0.85,5780127,0.82,5780127,0.81,5780127,0.83,5780127
Voltas Ltd.,0.83,3326936,0.77,3026936,0.89,3026936,0.93,3026936
SHRIRAM FINANCE LIMITED,0.78,1286008,0.75,1286008,0.50,999402,0.51,999402
Hindustan Petroleum Corporation Ltd.,0.77,8560976,0.70,7660976,0.72,7660976,0.70,7260976
Apollo Hospitals Enterprise Ltd.,0.76,458819,0.79,458819,0.76,458819,0.80,458819
Amber Enterprises India Ltd,0.75,970781,0.74,970781,0.74,970781,0.70,970781
Page Industries Ltd,0.72,59756,0.76,59756,0.83,59756,0.93,59756
Sundaram Fasteners Ltd.,0.67,1650702,0.67,1631896,0.63,1553356,0.56,1386098
HDFC BANK LTD.,0.63,1192800,-,-,-,-,-,-
Tata Consumer Products Ltd.,0.62,2269668,0.66,2269668,0.65,2269668,0.67,2269668
Metro Brands Ltd.,0.62,1887699,0.59,1887699,0.65,1887699,0.66,1965828
Alkem Laboratories Ltd.,0.59,468407,0.52,438407,0.47,388407,0.46,338407
Amara Raja Batteries Ltd.,0.49,2433301,0.42,1833301,0.40,1833301,0.42,1833301
ZF Commercial Vehicle Control Systems India Ltd,0.49,118344,0.48,118344,0.45,118344,0.28,69999
Shree Cement Ltd.,0.44,57410,0.46,57410,0.52,57410,0.49,52410
SAMVARDHANA MOTHERSON INTERNATIONAL LTD,0.42,13298635,0.38,13298635,0.38,13298635,0.38,13298635
Gujarat Gas Company Ltd.,0.42,2725121,0.43,2725121,0.48,2625121,0.43,2413697
Kewal Kiran Clothing Limited,0.38,1786725,0.32,1786725,0.32,1786725,0.32,1786725
Hawkins Cooker Ltd,0.37,172425,0.37,172425,0.39,172425,0.42,172425
KALPATARU POWER TRANSMISSION LTD,0.36,1767181,0.32,1767181,0.34,1767181,0.37,1767181
Honeywell Automation India Ltd.,0.35,25750,0.36,25750,0.31,21283,0.28,20131
United Spirits Ltd,0.34,1043376,0.32,1043376,0.33,1043376,0.31,1043376
City Union Bank Ltd.,0.33,7856168,0.34,7856168,0.35,7856168,0.43,7856168
Gujarat State Petronet Ltd.,0.33,3554630,0.34,3554630,0.38,3554630,0.39,3554630
Lux Industries Limited,0.30,587816,0.31,605147,0.33,620147,0.34,650215
AMBUJA CEMENTS LTD.,0.28,1890000,0.27,1890000,0.29,1890000,0.21,1390000
Godrej Agrovet Ltd.,0.27,1729515,0.26,1729515,0.27,1729515,0.29,1729515
Gland Pharma Limited,0.26,631242,0.23,631242,0.21,631242,0.33,631242
Laurus Labs Ltd,0.25,2210712,0.24,1979675,0.23,1979675,0.23,1979675
PNC Infratech,0.23,2042507,0.22,2042507,0.23,2042507,0.22,2042507
MANKIND PHARMA LTD,0.21,378299,0.23,401357,0.20,401357,0.12,278174
Motherson Sumi Wiring India Limited,0.21,11152059,0.22,11152059,0.23,11152059,0.23,11152059
Minda Industries Ltd.,0.19,1000000,0.20,1000000,0.20,1000000,0.20,1000000
Larsen & Toubro Infotech Ltd,0.19,125000,0.22,125000,0.22,125000,0.21,125000
PB Fintech Ltd.,0.11,456376,0.11,456376,0.10,456376,0.11,456376
FSN E-Commerce Ventures Ltd.,0.11,2469079,0.06,1221600,0.05,1221600,0.06,1221600
Life Insurance Corporation Of India,0.07,326860,0.07,326860,0.07,326860,0.11,526860
HDFC LTD.,-,-,0.48,510000,0.29,310000,0.03,30000



Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹31388.9(Cr.) ,Jun-23 AUM:₹29758.5(Cr.) ,May-23 AUM:₹27871.3(Cr.) ,Apr-23 AUM:₹25971.7(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Tri-Party Repo (TREPS),6.09,6.95,7.24,6.10
Net Current Asset,0.04,-0.11,-0.17,1.87



Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
