
Equity Holdings
Company,Jul-23 AUM:₹15025(Cr.),,Jun-23 AUM:₹14251.7(Cr.),,May-23 AUM:₹13182.5(Cr.),,Apr-23 AUM:₹12256.7(Cr.),
Vijaya Diagnostic Centre Limited,0.32,1082451,0.36,1082451,0.32,1082451,0.33,1082451
Container Corporation of India Limited,0.29,637096,0.30,637096,0.32,637096,0.32,637096
EPL Limited,0.27,1762629,0.27,1762629,0.24,1762629,0.25,1762629
The Ramco Cements Limited,0.24,398973,0.26,398973,0.27,398973,0.24,398973
ICICI Securities Limited,0.19,460120,0.20,460120,0.17,460120,0.17,460120
Computer Age Management Services Limited,0.19,119845,0.18,119845,0.20,119845,0.20,119845
MphasiS Limited,0.17,110117,0.15,110117,0.16,110117,0.16,110117
Jyothy Labs Limited,0.17,801580,-,-,-,-,-,-
LTIMindtree Limited,0.17,53053,0.19,53053,0.20,53053,0.19,53053
KFin Technologies Limited,0.17,665881,0.17,665881,0.17,665881,0.17,665881
Mankind Pharma Limited,0.15,127493,0.15,127493,0.13,127493,-,-
TeamLease Services Limited,0.13,80063,0.14,80063,0.14,81412,0.14,81412
Alembic Pharmaceuticals Limited,0.12,235652,0.11,235652,0.02,46864,-,-
K.P.R. Mill Limited,0.09,211695,0.10,211695,0.04,101027,0.05,101027
Motherson Sumi Wiring India Limited,0.06,1488754,0.06,1488754,0.07,1488754,0.07,1488754
Aarti Pharmalabs Limited,0.05,205492,0.05,205492,0.06,205492,0.06,205493
Symphony Limited,0.04,62745,0.04,62745,0.04,62745,0.05,63534
Bata India Limited,0.02,15959,0.02,15959,0.02,15959,0.02,15959
Page Industries Limited,0.02,663,0.02,663,0.02,663,-,-
V-Guard Industries Limited,0.01,61580,0.01,61580,0.01,61580,0.01,61580
Netweb Technologies India Limited,0.01,17673,-,-,-,-,-,-
Sundram Fasteners Limited,0.00,721,0.00,721,0.00,721,0.00,721
Suprajit Engineering Limited,0.00,11427,0.00,11427,0.00,11427,0.00,11427
Aarti Industries Limited,-,-,-,-,-,-,0.38,821971


Debt Holdings
Instrument,Jul-23 AUM:₹15025(Cr.) ,Jun-23 AUM:₹14251.7(Cr.) ,May-23 AUM:₹13182.5(Cr.) ,Apr-23 AUM:₹12256.7(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
182 Days Tbill (MD 29/09/2023) (Treasury Bills),1.32,1.38,1.48,-


Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹15025(Cr.) ,Jun-23 AUM:₹14251.7(Cr.) ,May-23 AUM:₹13182.5(Cr.) ,Apr-23 AUM:₹12256.7(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Clearing Corporation Of India Ltd.,8.67,8.60,11.88,12.43
Net Current Asset,0.38,0.44,-0.16,3.97



Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
