
Equity Holdings
Company,Jul-23 AUM:₹11597(Cr.),,Jun-23 AUM:₹10829.7(Cr.),,May-23 AUM:₹9882.7(Cr.),,Apr-23 AUM:₹9230.1(Cr.),
Bharat Forge Ltd.,0.68,846727,0.65,846727,0.68,846727,0.74,846727
Mahindra & Mahindra Financial Services Ltd.,0.68,2645799,0.82,2645799,0.76,2645799,0.74,2645799
Prataap Snacks Limited,0.64,882979,0.62,882979,0.72,882979,0.69,882979
Sandhar Technologies Ltd.,0.62,1933858,0.57,1933858,0.53,1933858,0.44,1933858
The Ramco Cements Ltd,0.61,798619,0.68,798619,0.73,798619,0.64,798619
WPIL Ltd,0.51,207444,0.55,207444,0.63,221284,0.72,247894
Kewal Kiran Clothing Limited,0.50,875340,0.44,875340,0.44,875340,0.44,875340
AXIS BANK LTD.,0.41,500000,0.46,500000,0.46,500000,0.47,500000
Whirlpool of India Ltd.,0.34,272569,0.37,272569,0.39,272569,0.39,272569
Zydus Lifesciences Ltd.,0.34,624810,0.34,624810,0.32,624810,0.35,624810
KNR Constructions Ltd.,0.34,1600442,0.36,1600442,0.40,1600442,0.42,1600442
HERITAGE FOODS LTD,0.33,1543134,0.30,1543134,0.34,1543134,0.28,1543134
Archean Chemicals Ltd.,0.30,666952,0.33,666952,0.37,666952,0.40,666952
Dixon Technologies India Ltd,0.28,79123,0.51,126053,0.56,142564,0.64,202564
Coromandel International Limited,0.27,300658,0.26,300658,0.29,300658,0.31,300658
MTAR Technologies Limited,0.23,124921,0.22,124921,0.24,124921,0.25,124921
Hindustan Oil Exploration Co Ltd.,0.22,1102519,0.21,1102519,0.20,1102519,0.22,1222519
SAMVARDHANA MOTHERSON INTERNATIONAL LTD,0.22,2654286,0.21,2654286,0.21,2654286,0.21,2654286
Lux Industries Limited,0.22,162477,0.25,177716,0.29,192716,0.32,216356
Happiest Minds Technologies Limited,0.12,153335,0.14,153335,0.14,153335,0.14,153335
BEML Land Assets Ltd.,0.10,754789,0.11,754789,0.12,754789,0.17,754789
Anand Rathi Wealth Ltd.,0.06,59994,0.05,59994,0.05,59994,0.06,59994
Clean Science and Technology Ltd,0.03,30000,0.04,30000,0.04,30000,0.05,30000



Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹11597(Cr.) ,Jun-23 AUM:₹10829.7(Cr.) ,May-23 AUM:₹9882.7(Cr.) ,Apr-23 AUM:₹9230.1(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Tri-Party Repo (TREPS),5.59,5.70,5.07,4.83
Net Current Asset,0.17,-0.05,-0.10,-0.24



Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
