
Equity Holdings
Company,Jul-23 AUM:₹11808.9(Cr.),,Jun-23 AUM:₹11132.5(Cr.),,May-23 AUM:₹10145.1(Cr.),,Apr-23 AUM:₹9370.3(Cr.),
Dodla Dairy Ltd.,0.52,811786,0.43,811786,0.41,811786,0.43,811786
Timken India Ltd.,0.51,170898,0.53,170898,0.56,170898,-,-
Steel Authority of India Ltd.,0.48,6000000,0.38,5000000,0.41,5000000,0.44,5000000
G R Infra projects Ltd.,0.45,400000,0.46,400000,0.50,400000,0.42,400000
Prism Johnson Ltd.,0.42,3967687,0.46,3967687,0.47,3967687,0.53,3967687
ABB India Ltd.,0.39,100000,0.60,150000,0.81,200000,0.73,200000
Nuvoco Vistas Corporation Ltd.,0.29,933664,0.29,933664,0.31,933664,0.33,933664
Persistent Systems Ltd.,0.27,68032,0.31,68032,0.34,68032,0.34,68032
Swaraj Engines Ltd.,0.26,156075,0.30,156075,0.29,156075,0.29,156075
Info Edge (India) Ltd.,0.25,65048,0.26,65048,0.26,65048,0.26,65048
Mangalam Cement Ltd.,0.18,714215,0.20,714215,0.22,714215,0.22,714215
NRB Bearings Ltd.,0.15,700000,0.18,1075761,0.17,1075761,0.17,1075761
Indigo Paints Ltd.,0.12,90600,0.12,90600,0.13,90600,0.11,90600
Manpasand Beverages Ltd.,0.00,2562406,0.00,2562406,0.00,2562406,0.00,2562406
Chemplast Sanmar Ltd.,-,-,-,-,0.50,1109052,0.51,1109052


Debt Holdings
Instrument,Jul-23 AUM:₹11808.9(Cr.) ,Jun-23 AUM:₹11132.5(Cr.) ,May-23 AUM:₹10145.1(Cr.) ,Apr-23 AUM:₹9370.3(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
91 DAY T-BILL 05.10.23 (Treasury Bills),0.08,-,-,-
182 DAY T-BILL 13.07.23 (Treasury Bills),-,0.09,0.10,0.11


Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹11808.9(Cr.) ,Jun-23 AUM:₹11132.5(Cr.) ,May-23 AUM:₹10145.1(Cr.) ,Apr-23 AUM:₹9370.3(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Tri-Party Repo (TREPS),5.77,3.75,3.94,0.74
Net Current Asset,-0.19,-0.50,0.06,2.74



Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
