
Equity Holdings
Company,Jul-23 AUM:₹9261.1(Cr.),,Jun-23 AUM:₹8965.4(Cr.),,May-23 AUM:₹8549(Cr.),,Apr-23 AUM:₹8072.1(Cr.),
Central Depository Services (I) Ltd.,0.78,589611,0.73,589611,0.72,589611,0.73,589611
CRISIL Ltd.,0.74,173973,0.76,173973,0.77,173973,0.76,170496
Sumitomo Chemical India Ltd.,0.69,1540418,0.75,1540418,0.64,1363118,0.25,502000
Schaeffler India Ltd.,0.68,201457,0.70,201457,0.70,201457,0.69,201457
Clean Science and Technology Ltd.,0.64,455612,0.71,455612,0.76,455612,0.30,166070
Bharat Rasayan Ltd.,0.62,63964,0.68,63964,0.74,63964,0.79,63964
Devyani International Ltd.,0.60,2862772,0.60,2862772,0.62,2862772,0.57,2862772
Prestige Estates Projects Ltd.,0.58,911491,0.58,911491,0.52,911491,0.17,282426
AU Small Finance Bank Ltd.,0.58,736889,0.62,736889,0.67,736889,0.61,736889
Aavas Financiers Ltd.,0.57,341552,0.59,341552,0.56,341552,0.59,341552
Blue Star Ltd.,0.51,604466,0.52,604466,0.51,604466,-,-
Grindwell Norton Ltd.,0.27,106602,0.27,106602,0.26,106602,0.16,69136
Housing Development Finance Corporation Ltd.,-,-,2.68,850000,2.63,850000,-,-
Bajaj Finance Ltd.,-,-,0.24,29730,0.24,29730,0.23,29730
India Glycols Ltd.,-,-,-,-,-,-,0.14,200596
The Federal Bank Ltd.,-,-,-,-,1.92,13106021,2.19,13106021
Voltas Ltd.,-,-,-,-,-,-,0.77,781900
Coromandel International Ltd.,-,-,-,-,0.12,110335,0.13,110335
Mahindra & Mahindra Financial Services Ltd,-,-,-,-,-,-,1.78,5560000
Kolte - Patil Developers Ltd.,-,-,-,-,-,-,0.50,1587420
Indian Energy Exchange Ltd.,-,-,-,-,0.91,5063936,0.98,5063936
Gland Pharma Ltd.,-,-,-,-,-,-,1.53,910500
Crompton Greaves Cons Electrical Ltd.,-,-,-,-,-,-,2.06,6512796


Debt Holdings
Instrument,Jul-23 AUM:₹9261.1(Cr.) ,Jun-23 AUM:₹8965.4(Cr.) ,May-23 AUM:₹8549(Cr.) ,Apr-23 AUM:₹8072.1(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
364 DAYS TBILL RED 14-03-2024 (Treasury Bills),0.16,0.16,-,-
182 DAYS TBILL RED 14-09-2023 (Treasury Bills),0.05,-,-,-
364 DAYS TBILL RED 29-06-2023 (Treasury Bills),-,-,0.17,0.18
182 DAYS TBILL RED 11-05-2023 (Treasury Bills),-,-,-,0.02
182 DAYS TBILL RED 01-06-2023 (Treasury Bills),-,-,0.04,-
182 DAYS TBILL RED 20-07-2023 (Treasury Bills),-,0.03,-,-
91 DAYS TBILL RED 15-06-2023 (Treasury Bills),-,-,0.04,-
91 DAYS TBILL RED 13-07-2023 (Treasury Bills),-,0.04,-,-


Cash & Cash Equivalents
Instrument,Jul-23 AUM:₹9261.1(Cr.) ,Jun-23 AUM:₹8965.4(Cr.) ,May-23 AUM:₹8549(Cr.) ,Apr-23 AUM:₹8072.1(Cr.) 
,% of AUM,% of AUM,% of AUM,% of AUM
Clearing Corporation Of India Ltd.,6.55,4.78,6.10,10.02
Net Current Asset,-0.11,-0.12,-1.09,-0.50



Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report  however  no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
